star_point,comment,photo
4,기계식 키보드는 처음 사보는데 청축은 너무 시끄러울 것 같애서 적축을 구매했습니다. 처음에 눌렀을 땐 느낌이 생각보다 달라서 읭 ? 했지만 쓰다보니까 사각사각 소리랑 눌리는 느낌이 괜찮았습니다. 다만 아쉬운 건 엔터나 스페이스바 같이 넓은 키는 키감이 생각한 거랑 좀 많이 달랐습니다. 아마 제가 적축이 처음이어서 그런 것일 수도 있다고 생각이 되네요 그래도 배송도 빠르고 키보드도 고급스럽고 예쁘고 무엇보다도 가성비가 좋습니다 !!,"['https://phinf.pstatic.net/checkout/20201104_210/1604498055186pcKQD_JPEG/review-attachment-fe4213cc-435b-4ed2-84ce-c6c5cd383e71.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201104_85/1604498055236orVrw_JPEG/review-attachment-e20ff234-4dd9-4885-9a7d-ca1e7bdab60d.jpeg?type=f287']"
5,"포장 상태 좋고 배송도 빨랐습니다.
사무용으로 사용하려고 적축 키보드로 주문해 보았는데 키감도 좋고 손목 부담 없이 사용하기에 편하네요.
LED 라이트도 모드가 다양한데 불빛이 예쁩니다. 측면에서 나오는 불빛도 맘에 들구요. 잘 쓰겠습니다!!","['https://phinf.pstatic.net/checkout/20200826_37/1598424437484B1YQB_JPEG/review-attachment-ae873087-32ca-4a14-ae23-69b82abf3c57.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200826_177/1598424437364ik1uE_JPEG/review-attachment-590398da-0205-46b1-a6f1-fb1fa435d03c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200826_47/1598424437253cjCAm_JPEG/review-attachment-122ca903-ed13-4278-971f-78bd3a8a5faf.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200826_198/15984244372557vPkC_JPEG/review-attachment-2f5df47d-7919-4d6b-96c5-89b2adfc4cb6.jpeg?type=f287']"
5,포장도 깔끔하게 잘 되어있어 받자마자 기분이 매우 좋아졌습니다. 또한 불빛도 너무 예쁘고 나오며 키보드를 누를때 자판 소리 또한 매우 듣기 좋은 소리였습니다. 다른 사람이 키보드가 필요하다고 하면 바로 제가 구매한 키보드를 추천 할 것 같습니다. 그만큼 매우 좋아요 키보드가 키보드를 누를때 눌리는 느낌도 매우 편안하다고 느껴졌습니다. 자고 일어나서 택배가 온 것을 봤는데 오늘 하루 키보드 때문에 기분 좋게 지낼 것 같네요 감사합니다!!!!!,"['https://phinf.pstatic.net/checkout/20201106_34/1604646096284g8lRe_JPEG/review-attachment-aec58445-8b50-45c5-9d61-f369ef71e570.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_90/16046460976172FXKJ_JPEG/review-attachment-cae2116b-abae-4c6b-910c-041254edde53.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201106_12/16046460975554Qnyk_JPEG/review-attachment-82d03d5c-99e2-4abb-a7da-30a20f01c9c9.jpeg?type=f287']"
5,디자인이 진짜 이쁩니다.상단 돌출부위랑 사이드led때문에 광축 대신 이 제품을 고른만큼 디자인이 압도적입니다.원래 리니어만 쓰는데 갈축한번 써보고 싶어서 샀는데 갈축 키감도 나쁘지 않네요.소음은 개인적으론 약간 거슬릴정도?문제는 통울림이 꽤 있습니다.근데 이가격이면 뭐 당연한거라 생각합니다.이 가격대의 비키형에 흡음재를 넣을 수 없으니까요.스테빌라이저의 압력이 균일하지 않은 것도 단점이네요.스페이스바로 해보면 양쪽과 중간이 미묘하게 다릅니다.뭐 막쓰기엔 상관이 없지만요.,[]
4,"물건 잘받았고 제품도 좋은데 제가 짤깍거리는 키보드를 사고 싶었는데 잘못알고 적축을 샀네요.ㅜㅜ
리뷰작성시 하나 더주는 행사 하는걸로 알고 있는데 제가 웑하는 걸 (청축?)주실수 있으실지요?
지금받은 키보드는 와이프가 아주 맘에 들어하며 쓰게 돠었습니다^^;","['https://phinf.pstatic.net/checkout/20201101_263/1604242777093oY8ph_JPEG/review-attachment-33f8857a-0017-4e0e-831a-568dfce51bda.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201101_88/1604242798286ROfzL_JPEG/review-attachment-51280176-5e90-4a2b-8858-2fe98cf90e30.jpeg?type=f287']"
4,"케이블 표면을 섬유로 감싸서 마감처리한 것, 케이블 정리위한 찍찍이타이까지 있는것이 인상깊습니다. 엔터나 백스페이스, 스페이스 누를때 소음이 적어서 만족하나 다른 버튼들은 약간의 소음이 있어 기본키보드보단 소리가 좀 있습니다. 전체적으론 만족합니다.","['https://phinf.pstatic.net/checkout/20201027_154/1603783784220iNvhR_JPEG/review-attachment-885824d2-54b1-4363-89e1-5184eb56770e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201027_105/1603783775177nrG7G_JPEG/review-attachment-1a1b4a3a-6c44-406d-8b32-9b72abc50b82.jpeg?type=f287']"
5,"기계식 키보드를 형이 사고 나서 저도 처음 사봤는데, Fn를 누르면 마음대로 색깔을 정할 수 있다는 것도 좋았고 기본적으로 키를 누른데 불편함이 없어서 좋았어요. 단점이라고 한다면, 살짝 튕기는 소리가 나긴 하는데, 그건 키보드를 살짝 눌렀다가 때서 그런거라 크게 신경쓰이지 않아요!! 배송도 빨라서 좋았어용!! 잘 쓸게요~~~","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_19_0/09a058b8-999d-11ea-b233-48df37ae3fca_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_19_0/16e2f882-999d-11ea-b3f4-48df379ccacc_03.jpg?type=f287']"
5,블랙을 샀으면 화이트가 사고 싶은법.. 하지만 이미 사버렸기에 아쉬움이 많이 남는다. 아 그리고 장패드 냄새나는건 밖에 2주정도 옷걸이에 걸어서 바람 통하게 냅두면 냄새 거의 빠지네요. 쫙 빼고 싶으면 한달정도 바깥공기랑 같이 냅두면 될 것 같습니다.,['https://phinf.pstatic.net/checkout/20201030_59/1603993037356aoFjW_JPEG/review-attachment-f0383c1b-ee8d-4f4a-9ebf-a72de958dd62.jpeg?type=f287']
5,"배송중에 집어던졌는지 겉 비닐과 속박스가 찢어져서 왔네요 기계식 처음 써보는데 좀 특이하네요
누르는 맛이 있습니다ㅎㅎ
그리고 버튼 중 kㅏ 버튼이 다른것보다 들어가 있습니다 요것민 빼면 엘이디도 이쁘고 좋네요
이거 사고나서 처남이 같은 키보드를 선물로 줘서 2개 됐습니다ㅋ",['https://phinf.pstatic.net/checkout/20201127_230/1606483463756fpHy6_JPEG/review-attachment-87a1b42a-b94e-4d60-99a5-b5e607f70c42.jpeg?type=f287']
4,"휴가철이라서 배송이 좀 늦긴 했지만 잘 도착했구요.
청축 특유의 짤깍거림이 좋지만 키보드가 얇아서 그런지 타이밍할 때 통통 거리는 공명음 비슷한 건 있습니다.

키보드가 얇아서 별도의 손목받침대는 안 해도 될 것 같습니다.
맥북에 연결해서 사용해야하는데 일부 키는 커스토마이징 해야할 것 같네요 ^^

사용할 것 같습니다.",['https://phinf.pstatic.net/checkout/20200806_225/15966890555552KTl5_JPEG/review-attachment-c563a22c-74e7-4a06-84aa-4fe941eef9b3.jpeg?type=f287']
